linkedin_slug,linkedin_url,company_name,tier,tier_label,primary_keyword,size_bracket,description_snippet,discovery_query,page_found,first_seen_at,resolved_domain,resolve_status,matching_people_count
legacymedicalcare,https://www.linkedin.com/company/legacymedicalcare,Legacy Medical Care,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"Legacy Medical Care is a Federally Qualified Health Center (FQHC) program ... 51-200 employees. Headquarters: Arlington Heights, Illinois. Type: Nonprofit.","site:linkedin.com/company/ ""FQHC"" ""51-200""",28,2026-04-17T07:55:35Z,https://www.legacymedicalcare.org,title_mismatch,1
mehop,https://www.linkedin.com/company/mehop,MEHOP,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,Matagorda Episcopal Health Outreach Program (MEHOP) is a Non-Profit 501(c)3 Federally Qualified Health Center ... 51–200 Beschäftigte. Hauptsitz: Bay City ...,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",3,2026-04-17T07:53:16Z,https://mehop.wpcomstaging.com,parking,1
mallory-community-health-center-lexington-ms,https://www.linkedin.com/company/mallory-community-health-center-lexington-ms,Mallory Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"External link for Mallory Community Health Center. Industry: Health and Human Services. Company size: 51-200 employees. Headquarters: Lexington, Mississippi.","site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,,none,1
mid-state-health-center,https://www.linkedin.com/company/mid-state-health-center,Mid-State Health Center,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center providing primary medical and supportive ... 51-200 employees. Headquarters: Plymouth, NH. Type: Nonprofit. Founded: 1998.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",18,2026-04-17T07:53:34Z,https://www.mhc.org,wrong_entity,1
nalhe-socal,https://www.linkedin.com/company/nalhe-socal,NALHE SoCal,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: Los Angeles , CA. Type: Nonprofit. Founded: 2017 ... A first-generation Mexican American, FQHC patient turned healthcare ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",15,2026-04-17T07:55:56Z,,none,1
nepa-community-health-care-fqhc,https://www.linkedin.com/company/nepa-community-health-care-fqhc,NEPA Community Health Care,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Montrose, Pennsylvania. Type: Nonprofit. Founded: 1983. Specialties: Family Medicine, Behavioral Health, Psychiatry, General ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",9,2026-04-17T07:55:11Z,https://discovernepa.com/live-in-nepa/about-nepa,ok,1
north-kern-south-tulare-hospital-district,https://www.linkedin.com/company/north-kern-south-tulare-hospital-district,NORTH KERN SOUTH TULARE HOSPITAL DISTRICT,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"District boundaries include an acute hospital, multiple Skilled Nursing Facilities and both FQHC's and a Rural Health Clinic (RHC). ... 201-500 employees.","site:linkedin.com/company/ ""FQHC"" ""201-500""",19,2026-04-17T07:56:01Z,https://northkern.net,bad_content,1
northeast-ohio-neighborhood-health-services-inc-,https://www.linkedin.com/company/northeast-ohio-neighborhood-health-services-inc-,"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES, INC.",1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,... Federally Qualified Health Center (FQHC) with seven locations in Cleveland ... 직원 201-500명. 본사: Ohio Cleveland. 유형: 비영리. 설립: 1967. 전문 분야 ...,"site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",2,2026-04-17T07:53:52Z,https://northeastohioregion.com,ok,1
alexandria-neighborhood-health-services-inc.,https://www.linkedin.com/company/alexandria-neighborhood-health-services-inc.,Neighborhood Health,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 Beschäftigte. Hauptsitz: Alexandria, Virginia. Art ... community health center patients. Thank you to the Gilead Sciences ...","site:linkedin.com/company/ ""community health center"" ""201-500""",17,2026-04-17T07:52:44Z,https://neighborhoodhealthtn.org,needs_review,1
neighborhoodhealth,https://www.linkedin.com/company/neighborhoodhealth,Neighborhood Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"Neighborhood Health Services Corporation is a Federally Qualified Health Center (FQHC) that services over 22,000 people per year. ... 51-200 employees.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",6,2026-04-17T07:53:19Z,https://neighborhoodhealthtn.org,ok,1
nevada-primary-care-association,https://www.linkedin.com/company/nevada-primary-care-association,Nevada Primary Care Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,11-50 名員工. 總部: Carson CityNevada. 類型: 非營利組織. 創立時間: 1995. 地點. 主要 ... Community Health Center Advocate award to the well deserving Congresswoman ...,"site:linkedin.com/company/ ""community health center"" ""11-50""",10,2026-04-17T07:51:13Z,https://intermountainhealthcare.org/services/senior-primary-care-nevada,ok,1
nbcommunityhealth,https://www.linkedin.com/company/nbcommunityhealth,New Bedford Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"... community health center. For over 40 years, NBCH has been providing ... 201-500 employees. Headquarters: New Bedford, Massachusetts. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""201-500""",6,2026-04-17T07:52:30Z,https://newbedford.org,ok,1
north-country-children%27s-clinic-inc.,https://www.linkedin.com/company/north-country-children%27s-clinic-inc.,"North Country Children's Clinic, Inc.",1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"North Country Children's Clinic, Inc., is a Federally Qualified Health Center and Article 28, located in Northern New York. ... 51 - 200 zaměstnanců.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",27,2026-04-17T07:53:47Z,http://north-country.com,parking,1
ohio-association-of-community-health-centers,https://www.linkedin.com/company/ohio-association-of-community-health-centers,Ohio Association of Community Health Centers,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 karyawan. Kantor Pusat: Columbus, Ohio. Jenis ... Community Health Center is putting that ... Wishing our Community Health Center family a joyful holiday ...","site:linkedin.com/company/ ""community health center"" ""11-50""",7,2026-04-17T07:51:10Z,https://ohioassociation.wordpress.com,ok_loc_only,1
open-door-bmh-health-center,https://www.linkedin.com/company/open-door-bmh-health-center,Open Door Health Services,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center, meaning we provide comprehensive ... 51–200 Beschäftigte. Hauptsitz: Muncie, IN. Art: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",23,2026-04-17T07:53:41Z,https://www.opendoorhealthservices.com,ok_loc_only,1
palmsmedicalgroup,https://www.linkedin.com/company/palmsmedicalgroup,PALMS MEDICAL GROUP,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employees. Headquarters: High Springs, Florida. Type: Nonprofit. Founded: 1971. Specialties: Pharmacy , Non Profit, FQHC, Dental , Xray, Medical Clinic ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",23,2026-04-17T07:56:07Z,https://palmsmg.org,ok,1
partnership-community-health-center,https://www.linkedin.com/company/partnership-community-health-center,PARTNERSHIP COMMUNITY HEALTH CENTER,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"External link for PARTNERSHIP COMMUNITY HEALTH CENTER. Industry: Hospitals and Health Care. Company size: 51-200 employees. Headquarters: APPLETON, Wisconsin.","site:linkedin.com/company/ ""community health center"" ""51-200""",4,2026-04-17T07:51:46Z,,none,1
philadelphia-fight,https://www.linkedin.com/company/philadelphia-fight,Philadelphia FIGHT,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,201-500,"... Federally Qualified Health Center providing high-quality medical ... 201–500 Beschäftigte. Hauptsitz: Philadelphia, PA. Art: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""201-500""",3,2026-04-17T07:53:53Z,https://www.hugedomains.com/domain_profile.cfm?d=philadelphiafight.com,parking,1
projectvida,https://www.linkedin.com/company/projectvida,Project Vida,1A_fqhc,FQHCs / Community Health Centers,FQHC,201-500,"201-500 employés. Siège social: El Paso, Texas. Type: Non lucratif ... #Match2026 #PsychiatryResidency #GME #CommunityHealth #FQHC # ...","site:linkedin.com/company/ ""FQHC"" ""201-500""",25,2026-04-17T07:56:09Z,https://projectvida.org,ok,1
promise-community-health-center,https://www.linkedin.com/company/promise-community-health-center,Promise Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Promise Community Health Center | 148 followers on LinkedIn. Our ... 51-200 employees. Headquarters: Sioux Center, Iowa. Type: Nonprofit. Founded: 2008 ...","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://cfmcky.com/services/behavioral-health,wrong_entity,1
pueblo-community-health-center,https://www.linkedin.com/company/pueblo-community-health-center,"Pueblo Community Health Center, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"Pueblo Community Health Center, Inc. | 751 位LinkedIn 關注者。Your ... 201-500 名員工. 總部: PuebloColorado. 類型: 非營利組織. 創立時間: 1983. 地點. 主要.","site:linkedin.com/company/ ""community health center"" ""201-500""",22,2026-04-17T07:52:51Z,,none,1
richland-parish-hospital,https://www.linkedin.com/company/richland-parish-hospital,Richland Parish Hospital,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,Richland Parish Hospital | LinkedIn 팔로워 152명 | Delhi Hospital │ Delhi Rural Health Clinic │ Delhi Community Health Center ... 직원 201-500명. 본사 ...,"site:linkedin.com/company/ ""community health center"" ""201-500""",6,2026-04-17T07:52:30Z,https://richlandparishhospital.com,parking,1
riggs-community-health-center-inc-,https://www.linkedin.com/company/riggs-community-health-center-inc-,Riggs Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Riggs Community Health Center | 407 followers on LinkedIn. Improving ... 51-200 employees. Headquarters: Lafayette, Indiana. Type: Nonprofit. Founded: 1988.","site:linkedin.com/company/ ""community health center"" ""51-200""",11,2026-04-17T07:51:54Z,,none,1
ruralmedicalservicesinc.,https://www.linkedin.com/company/ruralmedicalservicesinc.,"Rural Medical Services, Inc.",1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center with integrated ... RMS is a Federally Qualified Health Center ... 51–200 Beschäftigte. Hauptsitz: Newport, Tennessee.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",3,2026-04-17T07:53:16Z,https://ruralmedicalservices.org,needs_review,1
suny-oswego-prssa,https://www.linkedin.com/company/suny-oswego-prssa,SUNY Oswego PRSSA,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"직원 11-50명. 본사: NY Oswego. 유형: 교육기관. 설립: 2001. 전문 분야: Communications ... Community Health Center of Buffalo, Inc. 병원·보건. New York Buffalo ...","site:linkedin.com/company/ ""community health center"" ""11-50""",20,2026-04-17T07:51:26Z,https://sop.org,wrong_entity,1
sanfernandochc,https://www.linkedin.com/company/sanfernandochc,San Fernando Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,External link for San Fernando Community Health Center. Industry: Hospitals and Health Care. Company size: 51-200 employees. Headquarters: San Fernando ...,"site:linkedin.com/company/ ""community health center"" ""51-200""",2,2026-04-17T07:51:44Z,https://san-fernando.com,ok,1
scenic-rivers-health-svc,https://www.linkedin.com/company/scenic-rivers-health-svc,Scenic Rivers Health Services,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"Our status as a Community Health Center ensures that our staff will do ... 51–200 ansatte. Hovedkontor: Cook, Minnesota. Type: Ideell organisasjon.","site:linkedin.com/company/ ""community health center"" ""51-200""",9,2026-04-17T07:51:52Z,https://www.scenicrivershealth.org,ok,1
southeast-community-health-systems,https://www.linkedin.com/company/southeast-community-health-systems,Southeast Community Health Systems,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,Southeast Community Health Systems | 在领英上有460 位关注者。Southeast Community Health Systems is a federally qualified health center ... 51-200 人. 总部 ...,"site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",2,2026-04-17T07:53:15Z,https://www.shchc.org,ok,1
sunrise-community-health,https://www.linkedin.com/company/sunrise-community-health,Sunrise Community Health,1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201-500 employees. Headquarters: Evans, Colorado. Type: Nonprofit. Founded: 1973 ... The bipartisan Community Health Center (CHC) Drug Pricing Protection Act ...","site:linkedin.com/company/ ""community health center"" ""201-500""",7,2026-04-17T07:52:31Z,https://www.sunrisecommunityhealth.org,title_mismatch,1
syracuse-community-health-center,https://www.linkedin.com/company/syracuse-community-health-center,Syracuse Community Health,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"That's why Syracuse Community Health Center is now Syracuse Community Health ... 51-200 pekerja. Ibu pejabat: Syracuse, New York. Jenis: Kebajikan.","site:linkedin.com/company/ ""community health center"" ""51-200""",7,2026-04-17T07:51:50Z,https://syracusecommunityhealth.org,needs_review,1
texas-star-investments-inc,https://www.linkedin.com/company/texas-star-investments-inc,Texas Star Investments Inc,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 עובדים. משרדים ראשיים: Corpus Christi, Texas. מיקומים. 14005 Park Rd 22 ... דפים דומים. Bridge Occupational Medicine. Medical Practices. ‏Portland‏, ‏Texas‏ ...","site:linkedin.com/company/ ""community health center"" ""11-50""",27,2026-04-17T07:51:36Z,https://texas-star.com,parking,1
the-chappelle-group-corporation,https://www.linkedin.com/company/the-chappelle-group-corporation,"The Chappelle Group, Corporation",1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employés. Siège social: Greenbelt, Maryland. Type: Société civile/Société ... Optima FQHC Solutions. Hôpitaux et services de santé. Lakewood, New ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",4,2026-04-17T07:54:30Z,,none,1
the-community-health-center-in-cowley-county-inc,https://www.linkedin.com/company/the-community-health-center-in-cowley-county-inc,"The Community Health Center in Cowley County, Inc.",1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"External link for The Community Health Center in Cowley County, Inc. Industry: Hospitals and Health Care. Company size: 11-50 employees. Headquarters: Winfield ...","site:linkedin.com/company/ ""community health center"" ""11-50""",1,2026-04-17T07:51:02Z,https://communityhealthcenter.org,wrong_entity,1
tri-area-community-health,https://www.linkedin.com/company/tri-area-community-health,Tri-Area Community Health,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"... Federally Qualified Health Center and a Recognized Health Quality Leader. We ... 51-200 medarbejdere. Hovedkvarter: Laurel Fork, Virginia. Type: Nonprofit.","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",27,2026-04-17T07:53:47Z,,none,1
utah-partners-for-health,https://www.linkedin.com/company/utah-partners-for-health,UTAH PARTNERS FOR HEALTH,1A_fqhc,FQHCs / Community Health Centers,federally qualified health center,51-200,"51-200 de angajați. Sediu: Midvale, Utah. Tip: Non-profit. Înființată ... Federally Qualified Health Center, Specialty Referral Coordination și Mobile Clinics ...","site:linkedin.com/company/ ""federally qualified health center"" ""51-200""",5,2026-04-17T07:53:18Z,https://utahpartners.com,parking,1
ultra-violette-skincare,https://www.linkedin.com/company/ultra-violette-skincare,Ultra Violette Skincare,1A_fqhc,FQHCs / Community Health Centers,FQHC,Nov-50,"11-50 employees. Headquarters: Cremorne, Victoria. Type: Privately Held ... Senior Software Engineer at FQHC 340B… Click here to view Ava ...","site:linkedin.com/company/ ""FQHC"" ""11-50""",17,2026-04-17T07:54:47Z,https://ultraviolette.org,parking,1
vnacj-community-health-center,https://www.linkedin.com/company/vnacj-community-health-center,VNACJ Community Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"VNACJ Community Health Center | 501 followers on LinkedIn. Affordable, Quality ... 51-200 employees. Headquarters: Asbury Park, New Jersey. Type: Nonprofit.","site:linkedin.com/company/ ""community health center"" ""51-200""",15,2026-04-17T07:51:59Z,,none,1
vigilance-health,https://www.linkedin.com/company/vigilance-health,Vigilance Health,1A_fqhc,FQHCs / Community Health Centers,FQHC,51-200,"51-200 employees. Headquarters: Westlake Village, California. Type: Privately ... FQHC #healthcenter #MediCal #Medicaid #Medicare #remotecare #telehealth ...","site:linkedin.com/company/ ""FQHC"" ""51-200""",15,2026-04-17T07:55:18Z,https://www.vigilancehealth.com,needs_review,1
vcha,https://www.linkedin.com/company/vcha,Virginia Community Healthcare Association,1A_fqhc,FQHCs / Community Health Centers,community health center,Nov-50,"11-50 employees. Headquarters: Henrico, Virginia. Type: Nonprofit. Founded: 1980 ... Community Health Center of the New River Valley is preparing to expand.","site:linkedin.com/company/ ""community health center"" ""11-50""",25,2026-04-17T07:51:33Z,https://virginiacommunity.com,parking,1
waimanalo-health-center,https://www.linkedin.com/company/waimanalo-health-center,Waimānalo Health Center,1A_fqhc,FQHCs / Community Health Centers,community health center,51-200,"51-200 employees. Headquarters: Waimanalo, Hawaii. Type: Public Company. Founded ... National Community Health Center Week 2025 is coming to a close and we ...","site:linkedin.com/company/ ""community health center"" ""51-200""",6,2026-04-17T07:51:48Z,,none,1
kinston-community-health-center-inc,https://www.linkedin.com/company/kinston-community-health-center-inc,"Wallace, Morris, Barwick, Landis & Stroud, P.A.",1A_fqhc,FQHCs / Community Health Centers,community health center,201-500,"201–500 ansatte. Hovedkontor: Kinston, NC. Type: Utdanning. Beliggenheter. Primær ... Kinston Community Health Center, Inc. Sykehus og helsetjenester. Kinston ...","site:linkedin.com/company/ ""community health center"" ""201-500""",29,2026-04-17T07:53:00Z,,none,1
